observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,cloud,moonAlt,sunAlt,note,target,fieldId,proposalId,block_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,scripted_id
30,205.7642789212568,-35.06486524045426,2025-05-01 00:21:03.549377536,60796.043692129635,30.0,r,142.77567059717046,0.0,2,1.3812871572469696,0.6927553832540665,1.0872766433376873,0.9457414008235789,20.993142123466487,0,4.453409370686032,34.0,2.783452583684492,23.928706043094618,46.382602130937805,110.61787407970861,261.05729717178366,0.125,1.1793611055512292,-29.12708940882173,"blob_long, gr, a",,-1,30,1,153.70704058480115,43.83296776895414,0.0,305.11122562076145,271.157643971242,38.12185312091524,14.981467224175766,83.89759357915221,29.08764155442699,131.06510414214608,157.0542672847333,24.667395641231387,113.31374304116176,0
31,204.96890279700767,-38.136013261970426,2025-05-01 00:21:42.127135488,60796.043692129635,30.0,r,139.04261249123982,0.0,2,1.3558350456025303,0.6600769700549444,1.0382507767032887,0.9054421384501034,21.009489189152518,0,4.5777578738017555,34.0,3.1367849294489143,23.98900352934559,47.52337093161036,114.94463301054074,264.7903552777143,0.125,1.0703472658300688,-29.26604941870911,"blob_long, gr, a",,-1,31,1,153.86822133633032,43.83296776895414,0.0,305.0311564283781,271.0787682436413,38.122279471949426,14.981602904888,83.90398990853524,29.086818995185787,130.91069609775428,154.09430955993625,24.670163223021653,117.67005288076278,0
32,204.10080546589717,-41.18980464340294,2025-05-01 00:22:20.732142080,60796.043692129635,30.0,r,135.04669584526806,0.0,2,1.3354753824234968,0.6600769700549444,1.0288680559493018,0.8977295419903261,21.04336868949111,0,4.605006732267868,34.0,3.1260042685241127,24.015879702856605,48.48628009800144,119.43578973393944,268.78627192368606,0.125,0.9611365528460772,-29.405124904174425,"blob_long, gr, a",,-1,32,1,154.0295159342044,43.83296776895414,0.0,304.9511824645819,270.99977251568225,38.12270612456084,14.981738680606139,83.9103971555332,29.085994190746252,130.60531163082362,151.1083968899691,24.672935782055106,122.17813444935685,0
33,203.1158883931122,-44.201159520433855,2025-05-01 00:22:59.354014976,60796.043692129635,30.0,r,130.8030301068974,0.0,2,1.3193935954539189,0.6600769700549444,1.0214162771417254,0.8916041798104983,21.067614697921385,0,4.621873173576281,34.0,3.0970678934681333,24.036101506418635,49.2815177909386,124.03539850193978,273.02993766205674,0.125,0.8517581310804109,-29.544278493385224,"blob_long, gr, a",,-1,33,1,154.19088100151095,43.83296776895414,0.0,304.8713252626224,270.9206777930069,38.12313296401068,14.981874514814633,83.91681360807323,29.085167360069466,130.13104155004626,148.11802060775227,24.67571257789021,126.78146148389804,0
34,206.22850265528527,-45.96494300739418,2025-05-01 00:23:37.970565120,60796.043692129635,30.0,r,131.0419514111762,0.0,2,1.3648764372007256,0.6600769700549444,1.0423994012399194,0.9088523078192137,21.04089643752923,0,4.616550284719153,34.0,2.817613230823262,23.99693965617311,47.11045118332036,126.51848678773298,272.79101635777795,0.125,0.7422747872895011,-29.6834302470048,"blob_long, gr, a",,-1,34,1,154.35222383010506,43.83296776895414,0.0,304.79163053449616,270.8415293608398,38.12355974506955,14.982010329473065,83.92323558267334,29.08433897744283,132.3844120672965,147.44785029804584,24.67849201654689,129.2549800605784,0
35,205.28045748988106,-48.98587130975068,2025-05-01 00:24:16.579369472,60796.043692129635,30.0,r,126.88543004440568,0.0,2,1.3541439393787895,0.6600769700549444,1.0374735889749769,0.904803290137431,21.061795106936486,0,4.608804077547079,34.0,3.08807060277008,24.012320940775083,47.601579778545194,131.05613294494532,276.94753772454845,0.125,0.6326934531123501,-29.8225714236319,"blob_long, gr, a",,-1,35,1,154.51353429476552,43.83296776895414,0.0,304.7121029673466,270.762332092134,38.123986440954184,14.982146116058676,83.9296626731175,29.08350909569787,131.6940132369442,144.4039203895247,24.681273922063138,133.7844185404596,0
36,204.23210714864314,-51.99114687431708,2025-05-01 00:24:55.196298752,60796.043692129635,30.0,r,122.55042072318271,0.0,2,1.3480569277524828,0.6600769700549444,1.0346729399587535,0.9025011566460954,21.080041344379822,0,4.616929526392669,34.0,3.078311905092601,24.023760539893445,47.885695190066826,135.6506341903397,281.2825470457714,0.125,0.5229690799852621,-29.96175922180651,"blob_long, gr, a",,-1,36,1,154.67487870714857,43.83296776895414,0.0,304.6327096323706,270.6830533033376,38.124413227071194,14.982281930390734,83.93609752160668,29.082677373661486,130.8786891385973,141.365279311387,24.684059438071806,138.35972545377032,0
37,207.05597400790654,-56.84827429298554,2025-05-01 00:25:34.105975552,60796.043692129635,30.0,r,120.05616268483082,0.0,2,1.4064733250123407,0.6600769700549444,1.061346156078555,0.9244265402965722,21.060351239659187,0,4.909677356575337,34.0,5.126385967723022,23.980420198444886,45.316189623267555,142.06185436583328,283.7768050841233,0.125,0.41229154911541227,-30.102019715101306,"blob_long, gr, a",,-1,37,1,154.83744624087998,43.83296776895414,0.0,304.5528668938601,270.6031077907382,38.12484324901211,14.982418773466113,83.9425876306827,29.081837661689665,131.9147003484349,137.29725456712677,24.686869130397096,144.7417437646493,0
38,206.12514152983124,-59.91793585673334,2025-05-01 00:26:12.688252928,60796.043692129635,30.0,r,115.99501028188303,0.0,2,1.4134380955954513,0.6600769700549444,1.064496473220186,0.9270161009869929,21.072728798972626,0,4.582277513487089,34.0,3.1081235153990967,23.981578165362876,45.03144330894165,146.47345699377834,287.8379574870711,0.125,0.30242501459153953,-30.24111739097348,"blob_long, gr, a",,-1,38,1,154.99864587443412,43.83296776895414,0.0,304.4738468491866,270.52376969837724,38.125269653033286,14.982554464264014,83.94902955159118,29.081003345463213,130.83261527225218,134.21259290702812,24.68965821373282,149.12304749160137,0
39,205.1488280739125,-62.99206165870523,2025-05-01 00:26:51.255303680,60796.043692129635,30.0,r,111.9436428231957,0.0,2,1.426771079036536,0.7292130599363558,1.1517024733105243,0.998699433061251,21.06409932585307,0,4.5670513116609985,34.0,3.1092304814624567,23.89074840839816,44.49791306061925,150.80604640982517,291.8893249457584,0.125,0.19248213440999787,-30.38017747226624,"blob_long, gr, a",,-1,39,1,155.15978189113667,43.83296776895414,0.0,304.39500788935726,270.44439783775704,38.12569588920912,14.982690100684145,83.9554753212363,29.08016769665069,129.68580411757657,131.13273060583256,24.692449214512216,153.42043466501366,0
